Date,Clicks,Impressions,CTR,Position
2026-07-08,0,3,0%,8.3
2026-07-09,2,11,18.18%,8.8
2026-07-10,1,5,20%,12.8
2026-07-11,1,5,20%,1.4
2026-07-12,0,6,0%,3.5
2026-07-13,0,8,0%,3
2026-07-14,1,9,11.11%,2
2026-07-15,1,19,5.26%,4.4
2026-07-16,0,14,0%,5.4
2026-07-17,0,5,0%,1.2
2026-07-18,0,4,0%,1.5
2026-07-19,0,0,,
2026-07-20,0,11,0%,2.5
2026-07-21,1,16,6.25%,3.6
2026-07-22,0,7,0%,4.6
2026-07-23,0,7,0%,3.9
2026-07-24,2,11,18.18%,1.6
2026-07-25,0,1,0%,1
2026-07-26,0,15,0%,4.2
2026-07-27,0,4,0%,14
2026-07-28,1,21,4.76%,4.9
2026-07-29,0,6,0%,9.2
2026-07-30,1,11,9.09%,8.5
2026-07-31,1,27,3.7%,10.1
2026-08-01,1,21,4.76%,9.1
2026-08-02,3,23,13.04%,19.5
2026-08-03,0,20,0%,3.1
2026-08-04,2,14,14.29%,2.4
2026-08-05,0,13,0%,54.8
2026-08-06,1,7,14.29%,2.3
2026-08-07,0,7,0%,7.9
2026-08-08,2,21,9.52%,5.7
2026-08-09,2,9,22.22%,5
2026-08-10,1,27,3.7%,8
2026-08-11,0,4,0%,4.8
2026-08-12,4,50,8%,3.5
2026-08-13,2,16,12.5%,2.9
2026-08-14,1,16,6.25%,13.9
2026-08-15,1,13,7.69%,13
2026-08-16,1,9,11.11%,29.8
2026-08-17,1,7,14.29%,30
2026-08-18,1,14,7.14%,1.7
2026-08-19,1,4,25%,1.2
2026-08-20,1,8,12.5%,2.2
2026-08-21,1,4,25%,90.5
2026-08-22,0,3,0%,74
2026-08-23,0,3,0%,8
2026-08-24,0,12,0%,76
2026-08-25,1,41,2.44%,3
2026-08-26,0,54,0%,44.2
2026-08-27,1,11,9.09%,31.2
2026-08-28,0,4,0%,31.5
2026-08-29,0,7,0%,34.4
2026-08-30,0,4,0%,55.2
2026-08-31,0,7,0%,26
2026-09-01,1,7,14.29%,3.6
2026-09-02,0,13,0%,17.6
2026-09-03,2,11,18.18%,19.1
2026-09-04,1,92,1.09%,6.8
2026-09-05,1,16,6.25%,4.8
2026-09-06,1,7,14.29%,29.4
2026-09-07,0,13,0%,29.1
2026-09-08,1,13,7.69%,5.7
