Country,Clicks,Impressions,CTR,Position
India,46,637,7.22%,14.06
Switzerland,1,4,25%,1.5
United States,0,143,0%,10.24
United Kingdom,0,10,0%,6.2
Netherlands,0,8,0%,3.38
Brazil,0,8,0%,10.75
Germany,0,5,0%,3.6
Canada,0,3,0%,28.67
Vietnam,0,3,0%,64.33
Ukraine,0,2,0%,1.5
Slovakia,0,2,0%,4
Australia,0,2,0%,4.5
Indonesia,0,2,0%,5
France,0,2,0%,5.5
United Arab Emirates,0,2,0%,7
South Korea,0,2,0%,7.5
Thailand,0,2,0%,33.5
Philippines,0,2,0%,78
Hungary,0,1,0%,1
Luxembourg,0,1,0%,1
Saudi Arabia,0,1,0%,2
Ireland,0,1,0%,3
Japan,0,1,0%,4
Italy,0,1,0%,6
China,0,1,0%,7
Peru,0,1,0%,7
Portugal,0,1,0%,7
Spain,0,1,0%,8
Bangladesh,0,1,0%,9
Nepal,0,1,0%,9
